City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port alfred,-33.5906,26.891,21.77,79,5,3.13,ZA,1701931119
1,papatowai,-46.5619,169.4708,12.07,65,100,6.08,NZ,1701931120
2,bolotnoye,55.6717,84.3981,-22.04,89,100,3.09,RU,1701931122
3,nybro,56.7446,15.9071,1.25,99,100,3.12,SE,1701931123
4,punta arenas,-53.15,-70.9167,7.06,81,0,8.75,CL,1701931011
5,igarka,67.4667,86.5833,-22.78,96,100,4.99,RU,1701931125
6,margaret river,-33.95,115.0667,19.73,56,100,7.6,AU,1701931127
7,codrington,-38.2667,141.9667,19.55,45,6,5.01,AU,1701931128
8,opuwo,-18.0607,13.84,25.27,45,86,0.97,NA,1701931130
9,adamstown,-25.066,-130.1015,22.55,81,6,5.89,PN,1701931131
10,olonkinbyen,70.9221,-8.7187,-3.59,85,100,6.18,SJ,1701931132
11,vilyuchinsk,52.9306,158.4028,-6.71,83,6,1.94,RU,1701931134
12,hillsborough,37.5741,-122.3794,13.55,89,75,3.6,US,1701931135
13,lospalos,-8.5186,127.0025,29.58,59,100,1.83,TL,1701931136
14,queenstown,-31.8976,26.8753,23.97,48,21,3.65,ZA,1701931137
15,crane,31.3974,-102.3501,12.36,76,100,7.45,US,1701931139
16,waitangi,-43.9535,-176.5597,13.79,95,100,3.58,NZ,1701931140
17,east london,-33.0153,27.9116,22.52,78,0,6.17,ZA,1701931141
18,anna,51.4842,40.4299,-5.92,91,91,4.85,RU,1701931143
19,ribeira grande,38.5167,-28.7,15.43,79,100,0.45,PT,1701931092
20,ziro,27.6333,93.8333,11.41,46,100,0.68,IN,1701931145
21,edinburgh of the seven seas,-37.0676,-12.3116,14.1,76,10,5.91,SH,1701931147
22,pangody,65.85,74.4859,-27.08,95,100,5.18,RU,1701931148
23,thompson,55.7435,-97.8558,-7.91,93,0,2.06,CA,1701931150
24,russellville,35.2784,-93.1338,4.43,81,0,0.0,US,1701931151
25,avarua,-21.2078,-159.775,25.03,83,75,7.2,CK,1701931152
26,hawaiian paradise park,19.5933,-154.9731,22.24,87,40,2.06,US,1701931154
27,kromeriz,49.2979,17.3931,1.42,93,100,2.4,CZ,1701931155
28,bukittinggi,-0.3091,100.3706,24.0,83,71,1.35,ID,1701930919
29,klyuchi,52.2667,79.1667,-15.46,71,100,5.95,RU,1701931158
30,arraial do cabo,-22.9661,-42.0278,23.75,91,10,10.38,BR,1701931159
31,suva,-18.1416,178.4415,27.71,78,75,3.09,FJ,1701930896
32,cabedelo,-6.9811,-34.8339,24.37,80,96,3.73,BR,1701931162
33,albany,42.6001,-73.9662,-2.4,80,13,0.45,US,1701931163
